gf_id	category	lemma	governed_case	representative_synsets	sources	source_details	validation_status	exact_lexicon_function	alternate_lexicon_functions	flags
fyture_N	N	fyturë		05600637-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
fytyre_N	N	fytyrë		04679549-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
felliq_N	N	fëlliq		00276620-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
femije_N	N	fëmijë		09827683-n	Albanet/OMW | Baseline LexiconSqi	wns/als/wn-data-als.tab | child_N	baseline_lexicon_exact	child_N		lexicon_sqi_exact,pos_from_wordnet
femijeri_N	N	fëmijëri		14427065-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
g_N	N	g		13723712-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gabim_N	N	gabim		00070965-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gabim_i_lehte_N	N	gabim i lehtë		00074524-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
gabim_trashanik_N	N	gabim trashanik		00074790-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
gaf_N	N	gaf		00074790-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
galaktike_N	N	galaktike		08271042-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
galeri_N	N	galeri		08240169-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gamete_N	N	gametë		05456945-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gangstere_N	N	gangsterë		08245172-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
garanci_N	N	garanci		06685456-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gardh_N	N	gardh		02796623-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gardian_N	N	gardian		09614684-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gare_N	N	gare		07458453-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gare_ecje_N	N	gare ecje		07460104-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
gare_me_nderim_N	N	gare me nderim		07464083-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
garniture_N	N	garniturë		00262743-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gare_force_N	N	garë force		00446493-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
gatim_N	N	gatim		00243918-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gaz_N	N	gaz		00429949-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gazetar_N	N	gazetar		10224578-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gazete_N	N	gazetë		03822171-n	Albanet/OMW | Baseline LexiconSqi	wns/als/wn-data-als.tab | newspaper_N	baseline_lexicon_exact	newspaper_N		lexicon_sqi_exact,pos_from_wordnet
gazete_publike_N	N	gazetë publike		06263369-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
gazoline_N	N	gazolinë		14686913-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gdhendje_N	N	gdhendje		10284064-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gdhendje_me_shkronja_N	N	gdhendje me shkronja		06405699-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
germadhe_N	N	germadhe		07334490-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gic_N	N	gic		02395694-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gisht_N	N	gisht		05566097-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
give_and_take_N	N	give-and-take		07140659-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjah_N	N	gjah		02152881-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjak_N	N	gjak		05399847-n	Albanet/OMW | Baseline LexiconSqi	wns/als/wn-data-als.tab | blood_N	baseline_lexicon_exact	blood_N		lexicon_sqi_exact,pos_from_wordnet
gjalleri_N	N	gjallëri		00552436-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjallerim_N	N	gjallërim		00552436-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjalpi_N	N	gjalpi		07848338-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjalpe_N	N	gjalpë			Baseline LexiconSqi	butter_N	baseline_lexicon_exact	butter_N		lexicon_sqi_exact
gjarper_N	N	gjarpër			Baseline LexiconSqi	snake_N	baseline_lexicon_exact	snake_N		lexicon_sqi_exact
gjatesi_hapi_N	N	gjatësi hapi		13757249-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
gjedh_N	N	gjedh		02401031-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjedhe_N	N	gjedhe		03777283-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjelltore_N	N	gjelltore		04081281-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjemoj_N	N	gjemoj		07377473-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjendja_martesore_N	N	gjendja martësore		13963757-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
gjendje_N	N	gjendje		00024720-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjendje_e_arkes_N	N	gjendje e arkës		13375891-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
gjendje_e_eger_N	N	gjendje e egër		13939353-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
gjendje_e_keqe_N	N	gjendje e keqe		14055408-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
gjendje_e_keqe_shendetesore_N	N	gjendje e keqe shëndetësore		14061805-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
gjendje_e_lendes_N	N	gjendje e lëndës		14479615-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
gjendje_emocionale_N	N	gjendje emocionale		13985818-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
gjendje_fiziologjike_N	N	gjendje fiziologjike		14034177-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
gjendje_jo_normale_N	N	gjendje jo normale		14501726-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
gjendje_kome_N	N	gjendje kome		05680193-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
gjendje_mendore_N	N	gjendje mendore		14373582-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
gjendje_njohese_N	N	gjendje njohëse		05669934-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
gjendje_normale_N	N	gjendje normale		14379501-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
gjendje_psikologjike_N	N	gjendje psikologjike		14373582-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
gjendje_shpirterore_N	N	gjendje shpirtërore		04620558-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
gjenerate_N	N	gjeneratë		08369406-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjeni_N	N	gjeni		09762509-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjest_N	N	gjest		00331950-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjethe_N	N	gjethe		06256229-n	Albanet/OMW | Baseline LexiconSqi	wns/als/wn-data-als.tab | leaf_N	baseline_lexicon_exact	leaf_N		lexicon_sqi_exact,pos_from_wordnet
gjethnaje_N	N	gjethnajë		13152742-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjetje_N	N	gjetje		00043195-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjezdis_N	N	gjezdis		00283127-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gji_N	N	gji			Baseline LexiconSqi	breast_N	baseline_lexicon_exact	breast_N		lexicon_sqi_exact
gjilpere_N	N	gjilpërë		03816136-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjini_N	N	gjini		05006898-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjitar_N	N	gjitar		01861778-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjitar_i_ri_N	N	gjitar i ri		01321854-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
gjithe_N	N	gjithë		05869584-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjithe_biseda_N	N	gjithë biseda		05814162-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
gjiton_N	N	gjiton		10352299-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjobis_N	N	gjobis		01160342-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjoks_N	N	gjoks		05552607-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gju_N	N	gju		05573602-n	Albanet/OMW | Baseline LexiconSqi	wns/als/wn-data-als.tab | knee_N	baseline_lexicon_exact	knee_N		lexicon_sqi_exact,pos_from_wordnet
gjuaj_N	N	gjuaj		00136329-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjuajtje_N	N	gjuajtje		00043902-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjueti_N	N	gjueti		00945401-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjuha_e_shkruar_N	N	gjuha e shkruar		06349220-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
gjuhe_N	N	gjuhe		06282651-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjuhe_e_folur_N	N	gjuhe e folur		07109196-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
gjuhe_natyrale_N	N	gjuhe natyrale		06904171-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
gjuhe_N__2	N	gjuhë		05301072-n	Albanet/OMW | Baseline LexiconSqi	wns/als/wn-data-als.tab | language_N | tongue_N	baseline_lexicon_exact	language_N	tongue_N	lexicon_sqi_exact,pos_from_wordnet
gjuhesi_N	N	gjuhësi		06172789-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjume_N	N	gjumë		15273626-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjurmim_N	N	gjurmim		00644366-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjurme_N	N	gjurmë		05826914-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjykate_N	N	gjykatë		08329453-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjykates_N	N	gjykatës		10225219-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjykim_N	N	gjykim		00874067-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjykim_i_shendosh_N	N	gjykim i shëndosh		04892084-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
gjykues_N	N	gjykues		10066732-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjymtyre_N	N	gjymtyrë		05559908-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjynah_N	N	gjynah		00757080-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjyq_N	N	gjyq		08329453-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjyqtar_N	N	gjyqtar		10225219-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjysh_N	N	gjysh		10142391-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjyshe_N	N	gjyshe		10142747-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjysher_N	N	gjyshër		10143172-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gje_N	N	gjë		00034479-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gje_e_trasheguar_N	N	gjë e trashëguar		00083585-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
gjemim_N	N	gjëmim		07376257-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjendrat_e_lotit_N	N	gjëndrat e lotit		05405139-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
gjender_N	N	gjëndër		05576194-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjera_N	N	gjëra		05855004-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gjera_te_ndryshme_N	N	gjëra të ndryshme		04345288-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
glob_N	N	glob		07961016-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
globe_N	N	globe		09270894-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
goce_N	N	goce		10084295-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
goce_deti_N	N	gocë deti		01940736-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
godas_N	N	godas		00136329-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
godine_N	N	godinë		02913152-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
goditje_N	N	goditje		00125629-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gojor_N	N	gojor		07198846-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
goje_N	N	gojë		05302499-n	Albanet/OMW | Baseline LexiconSqi	wns/als/wn-data-als.tab | mouth_N	baseline_lexicon_exact	mouth_N		lexicon_sqi_exact,pos_from_wordnet
gomarlleqe_N	N	gomarllëqe		04891683-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gome_N	N	gomë			Baseline LexiconSqi	rubber_N	baseline_lexicon_exact	rubber_N		lexicon_sqi_exact
gosti_N	N	gosti		00428000-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gostisje_N	N	gostisje		07557165-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gote_N	N	gotë		03438257-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gote_qelqi_N	N	gotë qelqi		03438257-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
grabis_N	N	grabis		00138956-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
grabitqar_N	N	grabitqar		02152740-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
grabites_N	N	grabitës		08401819-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gracke_N	N	grackë		03829563-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gradacion_N	N	gradacion		13780180-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gradim_N	N	gradim		00999245-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
grade_N	N	gradë		05093890-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
grafik_N	N	grafik		06998748-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gramatike_N	N	gramatikë			Baseline LexiconSqi	grammar_N	baseline_lexicon_exact	grammar_N		lexicon_sqi_exact
grame_N	N	gramë		13723712-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
greve_N	N	grevë		01243674-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
greve_urie_N	N	grevë urie		01242962-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
grimce_N	N	grimcë		09386422-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
grindje_N	N	grindje		07448038-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
grisje_N	N	grisje		09410928-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
grope_N	N	gropë		03302121-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
grope_vrime_N	N	gropë , vrimë		03526198-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet,punctuation
grope_me_uje_N	N	gropë me ujë		08678615-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
grua_N	N	grua		08477634-n	Albanet/OMW | Baseline LexiconSqi	wns/als/wn-data-als.tab | wife_N | woman_N	baseline_lexicon_exact	wife_N	woman_N	lexicon_sqi_exact,pos_from_wordnet
grua_e_re_N	N	grua e re		10129825-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
grua_shtepie_N	N	grua shtepie		10189776-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
grumbull_N	N	grumbull		07961480-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
grumbull_hekurishtesh_N	N	grumbull hekurishtesh		02924554-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
grumbullim_N	N	grumbullim		01014066-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
grumbulloj_N	N	grumbulloj		00372013-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
grup_N	N	grup		00031264-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
grup_biologjike_N	N	grup biologjike		07941170-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
grup_familjar_N	N	grup familjar		07969695-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
grup_farefisnor_N	N	grup farefisnor		07969695-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
grup_gjaku_N	N	grup gjaku		05400601-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
grup_informatoresh_N	N	grup informatoresh		08274718-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
grup_interesash_N	N	grup interesash		07968702-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
grup_kafshesh_N	N	grup kafshësh		07993929-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
grup_kimik_N	N	grup kimik		14621446-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
grup_komunikimi_N	N	grup komunikimi		06261260-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
grup_muzikal_N	N	grup muzikal		08246613-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
grup_politik_N	N	grup politik		08359949-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
grup_profesional_N	N	grup profesional		08403631-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
grup_social_N	N	grup social		07950920-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
grup_tabelash_N	N	grup tabelash		08266235-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
grup_ushtarak_N	N	grup ushtarak		08198398-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
grupazh_N	N	grupazh		08240633-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
grupim_N	N	grupim		00031264-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
grupim_moshe_N	N	grupim moshë		07943480-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
grupmoshe_N	N	grupmoshë		07943480-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
grupoj_N	N	grupoj		01012360-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gryke_N	N	grykë		09362316-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gryke_mali_N	N	grykë mali		09386842-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
guaske_N	N	guaskë		01904182-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
guaske_deti_N	N	guaskë deti		01940736-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
gumezhitje_N	N	gumezhitje		07386920-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gur_N	N	gur		09227839-n	Albanet/OMW | Baseline LexiconSqi	wns/als/wn-data-als.tab | stone_N	baseline_lexicon_exact	stone_N		lexicon_sqi_exact,pos_from_wordnet
gur_i_themelit_N	N	gur i themelit		05793554-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
guralec_N	N	guralec		14696793-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gurr_i_cmuar_N	N	gurr i çmuar		09416076-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
gurr_ne_veshka_N	N	gurr ne veshka		09230768-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
gelltitje_N	N	gëlltitje		00838098-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gemushe_N	N	gëmushë		13112664-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
genjeshter_N	N	gënjeshtër		00752431-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
genjim_N	N	gënjim		00515414-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gergere_N	N	gërgëre		04454240-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
germadhe_N__2	N	gërmadhë		00217014-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gerryerje_N	N	gërryerje		13475538-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gezim_N	N	gëzim		00428000-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
gezof_N	N	gëzof		01895735-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
h2o_N	N	H2O		14845743-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			case_marked,pos_from_wordnet
habi_N	N	habi		07509572-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
hajat_hyrje_N	N	hajat , hyrje		03984381-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet,punctuation
hajdutllek_N	N	hajdutllëk		00780889-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
hak_N	N	hak		01181475-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
hakmarrje_N	N	hakmarrje		07213395-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
hall_N	N	hall		05687338-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
hallakatje_N	N	hallakatje		00787061-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
hallke_N	N	hallkë		03533972-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
hamendje_N	N	hamendje		05892096-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
hamshore_N	N	hamshorë		02377181-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
hap_N	N	hap		00285557-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			pos_from_wordnet
hap_i_madh_N	N	hap i madh		13757249-n	Albanet/OMW	wns/als/wn-data-als.tab	imported_unreviewed			multiword,pos_from_wordnet
